VALOR;UNIDAD;VIGENCIADESDE;VIGENCIAHASTA
2,686.54;COP;27/02/04;27/02/04
2,822.78;COP;10/12/03;10/12/03
2,808.42;COP;6/12/03;9/12/03
2,815.33;COP;5/12/03;5/12/03
2,815.19;COP;4/12/03;4/12/03
2,817.14;COP;3/12/03;3/12/03
2,829.08;COP;2/12/03;2/12/03
2,836.05;COP;29/11/03;1/12/03
2,838.70;COP;27/11/03;28/11/03
2,839.20;COP;26/11/03;26/11/03
2,838.02;COP;25/11/03;25/11/03
2,836.45;COP;22/11/03;24/11/03
2,831.10;COP;21/11/03;21/11/03
2,826.60;COP;20/11/03;20/11/03
2,831.97;COP;19/11/03;19/11/03
2,842.53;COP;15/11/03;18/11/03
2,850.24;COP;14/11/03;14/11/03
2,845.69;COP;13/11/03;13/11/03
2,840.41;COP;11/11/03;12/11/03
2,843.82;COP;8/11/03;10/11/03
2,854.17;COP;7/11/03;7/11/03
2,856.34;COP;6/11/03;6/11/03
2,869.46;COP;5/11/03;5/11/03
2,878.05;COP;1/11/03;4/11/03
2,884.17;COP;31/10/03;31/10/03
2,870.11;COP;30/10/03;30/10/03
2,879.34;COP;29/10/03;29/10/03
2,882.77;COP;28/10/03;28/10/03
2,857.88;COP;25/10/03;27/10/03
2,872.55;COP;24/10/03;24/10/03
2,870.01;COP;23/10/03;23/10/03
2,864.25;COP;22/10/03;22/10/03
2,864.34;COP;21/10/03;21/10/03
2,865.04;COP;18/10/03;20/10/03
2,867.75;COP;17/10/03;17/10/03
2,873.70;COP;16/10/03;16/10/03
2,865.32;COP;15/10/03;15/10/03
2,868.85;COP;11/10/03;14/10/03
2,878.39;COP;10/10/03;10/10/03
2,887.59;COP;9/10/03;9/10/03
2,868.91;COP;8/10/03;8/10/03
2,872.70;COP;7/10/03;7/10/03
2,881.88;COP;4/10/03;6/10/03
2,905.12;COP;3/10/03;3/10/03
2,907.41;COP;2/10/03;2/10/03
2,888.21;COP;1/10/03;1/10/03
2,889.39;COP;30/09/03;30/09/03
2,879.32;COP;27/09/03;29/09/03
2,871.39;COP;26/09/03;26/09/03
2,872.30;COP;25/09/03;25/09/03
2,866.42;COP;24/09/03;24/09/03
2,859.37;COP;23/09/03;23/09/03
2,844.64;COP;20/09/03;22/09/03
2,833.64;COP;19/09/03;19/09/03
2,823.28;COP;18/09/03;18/09/03
2,823.79;COP;17/09/03;17/09/03
2,824.53;COP;16/09/03;16/09/03
2,824.88;COP;13/09/03;15/09/03
2,829.82;COP;12/09/03;12/09/03
2,825.28;COP;11/09/03;11/09/03
2,820.20;COP;10/09/03;10/09/03
2,822.85;COP;9/09/03;9/09/03
2,820.46;COP;6/09/03;8/09/03
2,816.74;COP;5/09/03;5/09/03
2,826.46;COP;4/09/03;4/09/03
2,841.02;COP;3/09/03;3/09/03
2,832.94;COP;30/08/03;2/09/03
2,846.26;COP;29/08/03;29/08/03
2,850.89;COP;28/08/03;28/08/03
2,848.86;COP;27/08/03;27/08/03
2,843.66;COP;26/08/03;26/08/03
2,841.25;COP;23/08/03;25/08/03
2,853.56;COP;22/08/03;22/08/03
2,861.63;COP;21/08/03;21/08/03
2,869.29;COP;20/08/03;20/08/03
2,861.34;COP;16/08/03;19/08/03
2,864.81;COP;15/08/03;15/08/03
2,870.67;COP;14/08/03;14/08/03
2,868.50;COP;13/08/03;13/08/03
2,873.51;COP;12/08/03;12/08/03
2,875.18;COP;9/08/03;11/08/03
2,887.05;COP;7/08/03;8/08/03
2,901.09;COP;6/08/03;6/08/03
2,894.58;COP;5/08/03;5/08/03
2,886.87;COP;2/08/03;4/08/03
2,879.60;COP;1/08/03;1/08/03
2,880.40;COP;31/07/03;31/07/03
2,873.17;COP;30/07/03;30/07/03
2,883.15;COP;29/07/03;29/07/03
2,888.32;COP;26/07/03;28/07/03
2,887.31;COP;25/07/03;25/07/03
2,882.70;COP;24/07/03;24/07/03
2,878.56;COP;23/07/03;23/07/03
2,878.33;COP;22/07/03;22/07/03
2,880.69;COP;19/07/03;21/07/03
2,883.90;COP;18/07/03;18/07/03
2,888.57;COP;17/07/03;17/07/03
2,879.37;COP;16/07/03;16/07/03
2,871.88;COP;15/07/03;15/07/03
2,856.96;COP;12/07/03;14/07/03
2,855.41;COP;11/07/03;11/07/03
2,846.89;COP;10/07/03;10/07/03
2,838.88;COP;9/07/03;9/07/03
2,820.85;COP;8/07/03;8/07/03
2,815.14;COP;4/07/03;7/07/03
2,812.40;COP;3/07/03;3/07/03
2,817.63;COP;2/07/03;2/07/03
2,817.32;COP;28/06/03;1/07/03
2,812.28;COP;27/06/03;27/06/03
2,806.96;COP;26/06/03;26/06/03
2,815.26;COP;25/06/03;25/06/03
2,826.36;COP;21/06/03;24/06/03
2,827.40;COP;20/06/03;20/06/03
2,829.42;COP;19/06/03;19/06/03
2,828.96;COP;18/06/03;18/06/03
2,818.62;COP;17/06/03;17/06/03
2,821.61;COP;14/06/03;16/06/03
2,832.20;COP;13/06/03;13/06/03
2,821.27;COP;12/06/03;12/06/03
2,809.63;COP;11/06/03;11/06/03
2,818.50;COP;10/06/03;10/06/03
2,828.20;COP;7/06/03;9/06/03
2,839.21;COP;6/06/03;6/06/03
2,849.71;COP;5/06/03;5/06/03
2,846.16;COP;4/06/03;4/06/03
2,853.33;COP;31/05/03;3/06/03
2,855.88;COP;30/05/03;30/05/03
2,874.91;COP;29/05/03;29/05/03
2,850.03;COP;28/05/03;28/05/03
2,868.37;COP;27/05/03;27/05/03
2,868.37;COP;24/05/03;26/05/03
2,905.91;COP;23/05/03;23/05/03
2,912.46;COP;22/05/03;22/05/03
2,909.83;COP;21/05/03;21/05/03
2,874.77;COP;20/05/03;20/05/03
2,816.46;COP;17/05/03;19/05/03
2,827.99;COP;16/05/03;16/05/03
2,821.08;COP;15/05/03;15/05/03
2,813.60;COP;14/05/03;14/05/03
2,833.86;COP;13/05/03;13/05/03
2,840.04;COP;10/05/03;12/05/03
2,848.41;COP;9/05/03;9/05/03
2,866.06;COP;8/05/03;8/05/03
2,856.98;COP;7/05/03;7/05/03
2,858.37;COP;6/05/03;6/05/03
2,865.94;COP;3/05/03;5/05/03
2,868.43;COP;1/05/03;2/05/03
2,887.82;COP;30/04/03;30/04/03
2,900.00;COP;29/04/03;29/04/03
2,912.83;COP;26/04/03;28/04/03
2,908.25;COP;25/04/03;25/04/03
2,911.00;COP;24/04/03;24/04/03
2,916.03;COP;23/04/03;23/04/03
2,920.04;COP;22/04/03;22/04/03
2,918.01;COP;17/04/03;21/04/03
2,919.58;COP;16/04/03;16/04/03
2,931.69;COP;15/04/03;15/04/03
2,923.07;COP;12/04/03;14/04/03
2,911.74;COP;11/04/03;11/04/03
2,920.40;COP;10/04/03;10/04/03
2,938.32;COP;9/04/03;9/04/03
2,942.41;COP;8/04/03;8/04/03
2,946.79;COP;5/04/03;7/04/03
2,951.14;COP;4/04/03;4/04/03
2,956.50;COP;3/04/03;3/04/03
2,958.25;COP;29/03/03;31/03/03
2,958.73;COP;28/03/03;28/03/03
2,959.84;COP;27/03/03;27/03/03
2,959.26;COP;26/03/03;26/03/03
2,956.06;COP;22/03/03;25/03/03
2,954.62;COP;21/03/03;21/03/03
2,955.64;COP;20/03/03;20/03/03
2,955.84;COP;19/03/03;19/03/03
2,956.47;COP;18/03/03;18/03/03
2,958.86;COP;15/03/03;17/03/03
2,959.39;COP;14/03/03;14/03/03
2,961.99;COP;13/03/03;13/03/03
2,962.76;COP;12/03/03;12/03/03
2,961.93;COP;11/03/03;11/03/03
2,959.75;COP;8/03/03;10/03/03
2,960.11;COP;7/03/03;7/03/03
2,960.77;COP;6/03/03;6/03/03
2,962.06;COP;5/03/03;5/03/03
2,959.97;COP;4/03/03;4/03/03
2,957.87;COP;1/03/03;3/03/03
2,956.31;COP;28/02/03;28/02/03
2,949.85;COP;27/02/03;27/02/03
2,951.81;COP;26/02/03;26/02/03
2,949.05;COP;25/02/03;25/02/03
2,939.92;COP;22/02/03;24/02/03
2,938.23;COP;21/02/03;21/02/03
2,937.44;COP;20/02/03;20/02/03
2,929.64;COP;19/02/03;19/02/03
2,934.58;COP;18/02/03;18/02/03
2,954.76;COP;15/02/03;17/02/03
2,959.75;COP;14/02/03;14/02/03
2,960.77;COP;13/02/03;13/02/03
2,963.21;COP;12/02/03;12/02/03
2,968.88;COP;11/02/03;11/02/03
2,954.03;COP;8/02/03;10/02/03
2,963.28;COP;7/02/03;7/02/03
2,961.29;COP;6/02/03;6/02/03
2,966.78;COP;5/02/03;5/02/03
2,957.40;COP;4/02/03;4/02/03
2,940.26;COP;1/02/03;3/02/03
2,926.46;COP;31/01/03;31/01/03
2,950.71;COP;30/01/03;30/01/03
2,965.60;COP;29/01/03;29/01/03
2,948.30;COP;28/01/03;28/01/03
2,924.73;COP;25/01/03;27/01/03
2,926.88;COP;24/01/03;24/01/03
2,947.05;COP;23/01/03;23/01/03
2,933.81;COP;22/01/03;22/01/03
2,926.06;COP;21/01/03;21/01/03
2,923.58;COP;18/01/03;20/01/03
2,928.19;COP;17/01/03;17/01/03
2,905.41;COP;16/01/03;16/01/03
2,903.05;COP;15/01/03;15/01/03
2,906.49;COP;14/01/03;14/01/03
2,905.77;COP;11/01/03;13/01/03
2,915.01;COP;10/01/03;10/01/03
2,902.92;COP;9/01/03;9/01/03
2,881.83;COP;8/01/03;8/01/03
2,841.56;COP;4/01/03;7/01/03
2,844.82;COP;3/01/03;3/01/03
2,864.79;COP;31/12/02;2/01/03
2,854.29;COP;28/12/02;30/12/02
2,843.57;COP;27/12/02;27/12/02
2,823.95;COP;25/12/02;26/12/02
2,826.04;COP;24/12/02;24/12/02
2,814.71;COP;21/12/02;23/12/02
2,818.54;COP;20/12/02;20/12/02
2,818.81;COP;19/12/02;19/12/02
2,805.55;COP;18/12/02;18/12/02
2,807.61;COP;17/12/02;17/12/02
2,808.16;COP;14/12/02;16/12/02
2,793.16;COP;13/12/02;13/12/02
2,801.01;COP;12/12/02;12/12/02
2,816.42;COP;11/12/02;11/12/02
2,815.00;COP;10/12/02;10/12/02
2,782.40;COP;7/12/02;9/12/02
2,788.72;COP;6/12/02;6/12/02
2,806.63;COP;5/12/02;5/12/02
2,826.10;COP;4/12/02;4/12/02
2,812.94;COP;3/12/02;3/12/02
2,784.21;COP;30/11/02;2/12/02
2,758.28;COP;29/11/02;29/11/02
2,754.67;COP;28/11/02;28/11/02
2,735.04;COP;27/11/02;27/11/02
2,716.95;COP;26/11/02;26/11/02
2,687.25;COP;23/11/02;25/11/02
2,666.41;COP;22/11/02;22/11/02
2,671.70;COP;21/11/02;21/11/02
2,683.04;COP;20/11/02;20/11/02
2,679.96;COP;19/11/02;19/11/02
2,703.75;COP;16/11/02;18/11/02
2,724.04;COP;15/11/02;15/11/02
2,717.89;COP;14/11/02;14/11/02
2,727.05;COP;13/11/02;13/11/02
2,743.92;COP;9/11/02;12/11/02
2,743.00;COP;8/11/02;8/11/02
2,761.99;COP;7/11/02;7/11/02
2,774.58;COP;6/11/02;6/11/02
2,778.47;COP;2/11/02;5/11/02
2,778.60;COP;1/11/02;1/11/02
2,773.73;COP;31/10/02;31/10/02
2,781.72;COP;30/10/02;30/10/02
2,770.73;COP;29/10/02;29/10/02
2,755.69;COP;26/10/02;28/10/02
2,747.07;COP;25/10/02;25/10/02
2,744.32;COP;24/10/02;24/10/02
2,758.76;COP;23/10/02;23/10/02
2,791.46;COP;22/10/02;22/10/02
2,836.34;COP;19/10/02;21/10/02
2,853.90;COP;18/10/02;18/10/02
2,857.13;COP;17/10/02;17/10/02
2,852.99;COP;16/10/02;16/10/02
2,861.16;COP;12/10/02;15/10/02
2,870.63;COP;11/10/02;11/10/02
2,854.04;COP;10/10/02;10/10/02
2,850.98;COP;9/10/02;9/10/02
2,670.61;COP;7/08/02;8/08/02
2,663.81;COP;6/08/02;6/08/02
2,643.03;COP;3/08/02;5/08/02
2,640.35;COP;2/08/02;2/08/02
2,636.30;COP;1/08/02;1/08/02
2,625.06;COP;31/07/02;31/07/02
2,599.57;COP;30/07/02;30/07/02
2,596.26;COP;27/07/02;29/07/02
2,580.15;COP;26/07/02;26/07/02
2,572.42;COP;25/07/02;25/07/02
2,539.00;COP;24/07/02;24/07/02
2,517.42;COP;23/07/02;23/07/02
2,529.57;COP;20/07/02;22/07/02
2,538.47;COP;19/07/02;19/07/02
2,524.76;COP;18/07/02;18/07/02
2,499.92;COP;17/07/02;17/07/02
2,507.21;COP;16/07/02;16/07/02
2,513.99;COP;13/07/02;15/07/02
2,506.84;COP;12/07/02;12/07/02
2,482.21;COP;11/07/02;11/07/02
2,462.18;COP;10/07/02;10/07/02
2,457.39;COP;9/07/02;9/07/02
2,434.32;COP;6/07/02;8/07/02
2,426.40;COP;5/07/02;5/07/02
2,425.42;COP;4/07/02;4/07/02
2,410.54;COP;3/07/02;3/07/02
2,398.82;COP;29/06/02;2/07/02
2,398.14;COP;28/06/02;28/06/02
2,392.13;COP;27/06/02;27/06/02
2,386.18;COP;26/06/02;26/06/02
2,383.41;COP;25/06/02;25/06/02
2,384.22;COP;22/06/02;24/06/02
2,391.65;COP;21/06/02;21/06/02
2,393.87;COP;20/06/02;20/06/02
2,383.31;COP;19/06/02;19/06/02
2,379.92;COP;18/06/02;18/06/02
2,369.12;COP;15/06/02;17/06/02
2,357.14;COP;14/06/02;14/06/02
2,347.68;COP;13/06/02;13/06/02
2,340.36;COP;12/06/02;12/06/02
2,336.11;COP;8/06/02;11/06/02
2,335.30;COP;7/06/02;7/06/02
2,331.69;COP;6/06/02;6/06/02
2,324.54;COP;5/06/02;5/06/02
2,321.68;COP;1/06/02;4/06/02
2,321.16;COP;31/05/02;31/05/02
2,317.12;COP;30/05/02;30/05/02
2,314.30;COP;29/05/02;29/05/02
2,309.85;COP;28/05/02;28/05/02
2,331.07;COP;25/05/02;27/05/02
2,338.55;COP;24/05/02;24/05/02
2,349.80;COP;23/05/02;23/05/02
2,363.28;COP;22/05/02;22/05/02
2,350.20;COP;21/05/02;21/05/02
2,332.68;COP;18/05/02;20/05/02
2,314.21;COP;17/05/02;17/05/02
2,300.02;COP;16/05/02;16/05/02
2,293.00;COP;15/05/02;15/05/02
2,292.00;COP;11/05/02;14/05/02
2,289.17;COP;10/05/02;10/05/02
2,284.93;COP;9/05/02;9/05/02
2,286.60;COP;8/05/02;8/05/02
2,285.64;COP;7/05/02;7/05/02
2,286.39;COP;4/05/02;6/05/02
2,279.56;COP;3/05/02;3/05/02
2,275.43;COP;1/05/02;2/05/02
2,275.35;COP;30/04/02;30/04/02
2,270.92;COP;27/04/02;29/04/02
2,267.40;COP;26/04/02;26/04/02
2,265.70;COP;25/04/02;25/04/02
2,263.68;COP;24/04/02;24/04/02
2,259.88;COP;23/04/02;23/04/02
2,260.90;COP;20/04/02;22/04/02
2,256.66;COP;19/04/02;19/04/02
2,261.12;COP;18/04/02;18/04/02
2,265.99;COP;1/02/02;1/02/02
2,264.82;COP;31/01/02;31/01/02
2,262.45;COP;30/01/02;30/01/02
2,252.37;COP;29/01/02;29/01/02
2,242.67;COP;26/01/02;28/01/02
2,231.98;COP;25/01/02;25/01/02
2,239.92;COP;24/01/02;24/01/02
2,247.29;COP;23/01/02;23/01/02
2,259.24;COP;22/01/02;22/01/02
2,269.76;COP;19/01/02;21/01/02
2,265.01;COP;18/01/02;18/01/02
2,265.66;COP;17/01/02;17/01/02
2,280.73;COP;16/01/02;16/01/02
2,297.31;COP;15/01/02;15/01/02
2,304.54;COP;12/01/02;14/01/02
2,311.57;COP;11/01/02;11/01/02
2,306.35;COP;10/01/02;10/01/02
2,306.31;COP;9/01/02;9/01/02
2,295.59;COP;5/01/02;8/01/02
2,289.91;COP;4/01/02;4/01/02
2,289.42;COP;3/01/02;3/01/02
2,304.19;COP;3/04/01;3/04/01
2,310.57;COP;31/03/01;2/04/01
2,309.83;COP;30/03/01;30/03/01
2,303.86;COP;29/03/01;29/03/01
2,299.68;COP;28/03/01;28/03/01
2,293.99;COP;27/03/01;27/03/01
2,295.74;COP;24/03/01;26/03/01
2,290.02;COP;23/03/01;23/03/01
2,284.04;COP;22/03/01;22/03/01
2,282.17;COP;21/03/01;21/03/01
2,282.96;COP;17/03/01;20/03/01
2,281.02;COP;16/03/01;16/03/01
2,282.01;COP;15/03/01;15/03/01
2,275.92;COP;14/03/01;14/03/01
2,275.98;COP;13/03/01;13/03/01
2,264.01;COP;10/03/01;12/03/01
2,255.82;COP;24/01/01;24/01/01
2,240.02;COP;23/01/01;23/01/01
2,244.59;COP;20/01/01;22/01/01
2,246.74;COP;19/01/01;19/01/01
2,236.46;COP;18/01/01;18/01/01
2,245.89;COP;17/01/01;17/01/01
2,248.61;COP;16/01/01;16/01/01
2,251.75;COP;13/01/01;15/01/01
2,246.58;COP;12/01/01;12/01/01
2,230.14;COP;11/01/01;11/01/01
2,235.43;COP;10/01/01;10/01/01
2,243.16;COP;6/01/01;9/01/01
2,239.89;COP;5/01/01;5/01/01
2,224.38;COP;4/01/01;4/01/01
2,219.60;COP;3/01/01;3/01/01
2,229.18;COP;29/12/00;2/01/01
2,215.35;COP;28/12/00;28/12/00
2,196.76;COP;27/12/00;27/12/00
2,193.57;COP;23/12/00;26/12/00
2,187.02;COP;22/12/00;22/12/00
2,185.05;COP;21/12/00;21/12/00
2,187.17;COP;20/12/00;20/12/00
2,179.13;COP;19/12/00;19/12/00
2,175.91;COP;16/12/00;18/12/00
2,184.76;COP;15/12/00;15/12/00
2,186.87;COP;14/12/00;14/12/00
2,183.08;COP;13/12/00;13/12/00
2,175.57;COP;12/12/00;12/12/00
2,176.33;COP;8/12/00;11/12/00
2,174.29;COP;7/12/00;7/12/00
2,184.18;COP;6/12/00;6/12/00
2,180.30;COP;5/12/00;5/12/00
2,174.85;COP;2/12/00;4/12/00
2,168.60;COP;1/12/00;1/12/00
2,172.84;COP;30/11/00;30/11/00
2,169.82;COP;29/11/00;29/11/00
2,158.05;COP;28/11/00;28/11/00
2,141.91;COP;25/11/00;27/11/00
2,141.14;COP;24/11/00;24/11/00
2,131.76;COP;23/11/00;23/11/00
2,124.16;COP;22/11/00;22/11/00
2,122.61;COP;21/11/00;21/11/00
2,122.63;COP;18/11/00;20/11/00
2,121.64;COP;17/11/00;17/11/00
2,125.31;COP;16/11/00;16/11/00
2,125.17;COP;15/11/00;15/11/00
2,126.41;COP;11/11/00;14/11/00
2,127.51;COP;10/11/00;10/11/00
2,124.84;COP;9/11/00;9/11/00
2,134.08;COP;8/11/00;8/11/00
2,139.21;COP;4/11/00;7/11/00
2,136.73;COP;3/11/00;3/11/00
2,138.95;COP;2/11/00;2/11/00
2,147.89;COP;1/11/00;1/11/00
2,158.36;COP;31/10/00;31/10/00
2,158.14;COP;28/10/00;30/10/00
2,167.26;COP;27/10/00;27/10/00
2,170.32;COP;26/10/00;26/10/00
2,153.18;COP;25/10/00;25/10/00
2,157.84;COP;24/10/00;24/10/00
2,159.79;COP;21/10/00;23/10/00
2,152.31;COP;20/10/00;20/10/00
2,162.86;COP;19/10/00;19/10/00
2,178.13;COP;18/10/00;18/10/00
2,180.69;COP;14/10/00;17/10/00
2,175.96;COP;13/10/00;13/10/00
2,175.97;COP;12/10/00;12/10/00
2,182.17;COP;11/10/00;11/10/00
2,184.26;COP;10/10/00;10/10/00
2,187.38;COP;7/10/00;9/10/00
2,185.06;COP;6/10/00;6/10/00
2,194.98;COP;5/10/00;5/10/00
2,151.56;COP;19/07/00;19/07/00
1,376.87;COP;23/07/98;23/07/98
1,380.87;COP;22/07/98;22/07/98
1,381.54;COP;18/07/98;21/07/98
1,376.74;COP;17/07/98;17/07/98
1,378.01;COP;16/07/98;16/07/98
1,381.22;COP;15/07/98;15/07/98
1,380.27;COP;14/07/98;14/07/98
1,374.23;COP;11/07/98;13/07/98
1,370.45;COP;10/07/98;10/07/98
1,369.12;COP;9/07/98;9/07/98
1,368.16;COP;8/07/98;8/07/98
1,357.78;COP;7/07/98;7/07/98
1,348.06;COP;4/07/98;6/07/98
1,345.65;COP;3/07/98;3/07/98
1,265.38;COP;11/10/97;14/10/97
1,258.04;COP;10/10/97;10/10/97
1,252.74;COP;9/10/97;9/10/97
1,247.51;COP;8/10/97;8/10/97
1,250.95;COP;7/10/97;7/10/97
1,244.84;COP;4/10/97;6/10/97
1,242.16;COP;3/10/97;3/10/97
1,243.27;COP;2/10/97;2/10/97
1,244.63;COP;1/10/97;1/10/97
1,246.27;COP;30/09/97;30/09/97
1,241.72;COP;27/09/97;29/09/97
1,249.73;COP;26/09/97;26/09/97
1,251.88;COP;25/09/97;25/09/97
1,248.83;COP;24/09/97;24/09/97
1,242.45;COP;23/09/97;23/09/97
1,238.29;COP;20/09/97;22/09/97
1,236.31;COP;19/09/97;19/09/97
1,241.83;COP;18/09/97;18/09/97
1,243.58;COP;17/09/97;17/09/97
1,245.06;COP;16/09/97;16/09/97
1,228.01;COP;13/09/97;15/09/97
1,232.12;COP;12/09/97;12/09/97
1,250.03;COP;11/09/97;11/09/97
1,238.21;COP;10/09/97;10/09/97
1,204.09;COP;9/09/97;9/09/97
1,186.98;COP;6/09/97;8/09/97
1,180.94;COP;5/09/97;5/09/97
1,172.82;COP;4/09/97;4/09/97
1,169.38;COP;3/09/97;3/09/97
1,174.01;COP;2/09/97;2/09/97
1,172.28;COP;30/08/97;1/09/97
1,167.28;COP;29/08/97;29/08/97
1,161.15;COP;28/08/97;28/08/97
1,154.89;COP;27/08/97;27/08/97
1,145.52;COP;26/08/97;26/08/97
1,154.23;COP;23/08/97;25/08/97
1,149.19;COP;22/08/97;22/08/97
1,140.54;COP;21/08/97;21/08/97
1,137.54;COP;20/08/97;20/08/97
1,129.05;COP;16/08/97;19/08/97
1,128.25;COP;15/08/97;15/08/97
1,125.62;COP;14/08/97;14/08/97
1,120.33;COP;13/08/97;13/08/97
1,119.38;COP;12/08/97;12/08/97
1,118.96;COP;9/08/97;11/08/97
1,115.20;COP;7/08/97;8/08/97
1,115.43;COP;6/08/97;6/08/97
1,112.83;COP;5/08/97;5/08/97
1,113.43;COP;2/08/97;4/08/97
1,112.53;COP;1/08/97;1/08/97
1,109.65;COP;31/07/97;31/07/97
1,106.67;COP;30/07/97;30/07/97
1,108.16;COP;29/07/97;29/07/97
1,106.06;COP;26/07/97;28/07/97
1,106.64;COP;25/07/97;25/07/97
1,106.70;COP;24/07/97;24/07/97
1,110.32;COP;23/07/97;23/07/97
1,109.46;COP;22/07/97;22/07/97
1,105.33;COP;19/07/97;21/07/97
1,102.48;COP;18/07/97;18/07/97
1,100.83;COP;17/07/97;17/07/97
1,099.25;COP;16/07/97;16/07/97
1,099.56;COP;15/07/97;15/07/97
1,098.46;COP;12/07/97;14/07/97
1,097.88;COP;11/07/97;11/07/97
1,098.64;COP;10/07/97;10/07/97
1,101.18;COP;9/07/97;9/07/97
1,102.45;COP;8/07/97;8/07/97
1,101.57;COP;5/07/97;7/07/97
1,102.84;COP;4/07/97;4/07/97
1,098.72;COP;3/07/97;3/07/97
1,093.25;COP;2/07/97;2/07/97
1,089.01;COP;28/06/97;1/07/97
1,090.58;COP;27/06/97;27/06/97
1,087.72;COP;26/06/97;26/06/97
1,086.47;COP;25/06/97;25/06/97
1,088.16;COP;24/06/97;24/06/97
1,086.36;COP;21/06/97;23/06/97
1,084.28;COP;20/06/97;20/06/97
997.99;COP;10/12/96;10/12/96
1,001.82;COP;7/12/96;9/12/96
997.48;COP;6/12/96;6/12/96
997.40;COP;5/12/96;5/12/96
995.73;COP;4/12/96;4/12/96
1,000.09;COP;3/12/96;3/12/96
1,002.28;COP;30/11/96;2/12/96
994.94;COP;29/11/96;29/11/96
995.93;COP;28/11/96;28/11/96
995.05;COP;27/11/96;27/11/96
995.05;COP;26/11/96;26/11/96
995.34;COP;23/11/96;25/11/96
994.37;COP;22/11/96;22/11/96
995.20;COP;21/11/96;21/11/96
994.02;COP;20/11/96;20/11/96
995.96;COP;19/11/96;19/11/96
999.68;COP;16/11/96;18/11/96
1,001.68;COP;15/11/96;15/11/96
997.38;COP;14/11/96;14/11/96
1,000.22;COP;13/11/96;13/11/96
1,001.24;COP;9/11/96;12/11/96
999.59;COP;8/11/96;8/11/96
1,003.75;COP;7/11/96;7/11/96
1,006.36;COP;6/11/96;6/11/96
999.49;COP;2/11/96;5/11/96
1,000.14;COP;1/11/96;1/11/96
1,005.83;COP;31/10/96;31/10/96
1,007.57;COP;30/10/96;30/10/96
1,012.43;COP;29/10/96;29/10/96
1,011.69;COP;26/10/96;28/10/96
1,015.49;COP;25/10/96;25/10/96
1,017.52;COP;24/10/96;24/10/96
1,018.04;COP;23/10/96;23/10/96
1,018.33;COP;22/10/96;22/10/96
1,016.87;COP;19/10/96;21/10/96
1,015.24;COP;18/10/96;18/10/96
1,018.50;COP;17/10/96;17/10/96
1,019.22;COP;16/10/96;16/10/96
1,015.07;COP;12/10/96;15/10/96
1,013.12;COP;11/10/96;11/10/96
1,012.27;COP;10/10/96;10/10/96
1,010.32;COP;9/10/96;9/10/96
1,012.56;COP;8/10/96;8/10/96
1,014.99;COP;5/10/96;7/10/96
1,015.24;COP;4/10/96;4/10/96
1,019.17;COP;3/10/96;3/10/96
1,030.54;COP;2/10/96;2/10/96
1,027.08;COP;1/10/96;1/10/96
1,025.06;COP;28/09/96;30/09/96
1,027.68;COP;27/09/96;27/09/96
1,030.25;COP;26/09/96;26/09/96
1,040.36;COP;25/09/96;25/09/96
1,038.09;COP;24/09/96;24/09/96
1,037.11;COP;21/09/96;23/09/96
1,037.10;COP;20/09/96;20/09/96
1,035.94;COP;19/09/96;19/09/96
1,038.90;COP;18/09/96;18/09/96
1,042.80;COP;17/09/96;17/09/96
1,043.89;COP;14/09/96;16/09/96
922.21;COP;15/08/95;15/08/95
828.74;COP;17/11/94;17/11/94
826.45;COP;16/11/94;16/11/94
825.87;COP;12/11/94;15/11/94
825.17;COP;11/11/94;11/11/94
826.84;COP;10/11/94;10/11/94
829.09;COP;9/11/94;9/11/94
831.25;COP;5/11/94;8/11/94
833.19;COP;4/11/94;4/11/94
836.18;COP;3/11/94;3/11/94
837.79;COP;2/11/94;2/11/94
837.62;COP;1/11/94;1/11/94
838.55;COP;29/10/94;31/10/94
840.05;COP;28/10/94;28/10/94
841.32;COP;27/10/94;27/10/94
843.48;COP;26/10/94;26/10/94
842.60;COP;25/10/94;25/10/94
841.41;COP;22/10/94;24/10/94
838.32;COP;21/10/94;21/10/94
836.72;COP;20/10/94;20/10/94
835.33;COP;19/10/94;19/10/94
834.83;COP;15/10/94;18/10/94
836.01;COP;14/10/94;14/10/94
836.40;COP;13/10/94;13/10/94
835.38;COP;12/10/94;12/10/94
835.59;COP;11/10/94;11/10/94
836.80;COP;8/10/94;10/10/94
840.06;COP;7/10/94;7/10/94
842.54;COP;6/10/94;6/10/94
844.40;COP;5/10/94;5/10/94
843.65;COP;4/10/94;4/10/94
843.00;COP;1/10/94;3/10/94
842.00;COP;30/09/94;30/09/94
841.32;COP;29/09/94;29/09/94
841.51;COP;28/09/94;28/09/94
840.23;COP;27/09/94;27/09/94
839.46;COP;24/09/94;26/09/94
841.53;COP;23/09/94;23/09/94
842.70;COP;22/09/94;22/09/94
841.82;COP;21/09/94;21/09/94
838.63;COP;20/09/94;20/09/94
837.21;COP;17/09/94;19/09/94
833.10;COP;16/09/94;16/09/94
827.86;COP;15/09/94;15/09/94
824.34;COP;14/09/94;14/09/94
821.62;COP;13/09/94;13/09/94
820.26;COP;10/09/94;12/09/94
820.02;COP;9/09/94;9/09/94
819.24;COP;8/09/94;8/09/94
818.21;COP;7/09/94;7/09/94
817.80;COP;6/09/94;6/09/94
818.81;COP;3/09/94;5/09/94
817.64;COP;2/09/94;2/09/94
