VALOR;UNIDAD;VIGENCIADESDE;VIGENCIAHASTA
1,881.62;COP;12/08/14;12/08/14
1,891.59;COP;9/08/14;11/08/14
1,888.51;COP;7/08/14;8/08/14
1,892.35;COP;6/08/14;6/08/14
1,878.68;COP;5/08/14;5/08/14
1,873.65;COP;2/08/14;4/08/14
1,878.75;COP;1/08/14;1/08/14
1,872.43;COP;31/07/14;31/07/14
1,853.30;COP;30/07/14;30/07/14
1,850.61;COP;29/07/14;29/07/14
1,848.56;COP;26/07/14;28/07/14
1,846.12;COP;25/07/14;25/07/14
1,847.85;COP;24/07/14;24/07/14
1,848.98;COP;23/07/14;23/07/14
1,861.28;COP;22/07/14;22/07/14
1,871.87;COP;19/07/14;21/07/14
1,872.27;COP;18/07/14;18/07/14
1,868.41;COP;17/07/14;17/07/14
1,867.88;COP;16/07/14;16/07/14
1,857.93;COP;15/07/14;15/07/14
1,852.57;COP;12/07/14;14/07/14
1,858.47;COP;11/07/14;11/07/14
1,859.94;COP;10/07/14;10/07/14
1,854.24;COP;9/07/14;9/07/14
1,849.28;COP;8/07/14;8/07/14
1,848.91;COP;4/07/14;7/07/14
1,856.73;COP;3/07/14;3/07/14
1,865.42;COP;2/07/14;2/07/14
1,881.19;COP;28/06/14;1/07/14
1,886.01;COP;27/06/14;27/06/14
1,880.37;COP;26/06/14;26/06/14
1,886.85;COP;25/06/14;25/06/14
1,884.56;COP;21/06/14;24/06/14
1,881.34;COP;20/06/14;20/06/14
1,895.92;COP;19/06/14;19/06/14
1,899.90;COP;18/06/14;18/06/14
1,886.62;COP;17/06/14;17/06/14
1,877.37;COP;14/06/14;16/06/14
1,877.18;COP;13/06/14;13/06/14
1,884.63;COP;12/06/14;12/06/14
1,884.97;COP;11/06/14;11/06/14
1,883.76;COP;10/06/14;10/06/14
1,886.09;COP;7/06/14;9/06/14
1,892.08;COP;6/06/14;6/06/14
1,897.70;COP;5/06/14;5/06/14
1,899.74;COP;4/06/14;4/06/14
1,900.64;COP;31/05/14;3/06/14
1,905.96;COP;30/05/14;30/05/14
1,910.80;COP;29/05/14;29/05/14
1,917.34;COP;28/05/14;28/05/14
1,905.53;COP;24/05/14;27/05/14
1,905.80;COP;23/05/14;23/05/14
1,911.33;COP;22/05/14;22/05/14
1,920.41;COP;21/05/14;21/05/14
1,921.16;COP;20/05/14;20/05/14
1,925.41;COP;17/05/14;19/05/14
1,927.80;COP;16/05/14;16/05/14
1,925.31;COP;15/05/14;15/05/14
1,919.70;COP;14/05/14;14/05/14
1,904.85;COP;13/05/14;13/05/14
1,901.51;COP;10/05/14;12/05/14
1,902.15;COP;9/05/14;9/05/14
1,912.97;COP;8/05/14;8/05/14
1,918.20;COP;7/05/14;7/05/14
1,923.07;COP;6/05/14;6/05/14
1,926.30;COP;3/05/14;5/05/14
1,933.46;COP;1/05/14;2/05/14
1,935.14;COP;30/04/14;30/04/14
1,936.13;COP;29/04/14;29/04/14
1,942.37;COP;26/04/14;28/04/14
1,936.07;COP;25/04/14;25/04/14
1,936.63;COP;24/04/14;24/04/14
1,929.66;COP;23/04/14;23/04/14
1,921.75;COP;22/04/14;22/04/14
1,930.62;COP;17/04/14;21/04/14
1,932.42;COP;16/04/14;16/04/14
1,926.47;COP;15/04/14;15/04/14
1,927.28;COP;12/04/14;14/04/14
1,920.93;COP;11/04/14;11/04/14
1,931.09;COP;10/04/14;10/04/14
1,923.95;COP;9/04/14;9/04/14
1,937.59;COP;8/04/14;8/04/14
1,951.85;COP;5/04/14;7/04/14
1,966.40;COP;4/04/14;4/04/14
1,963.51;COP;3/04/14;3/04/14
1,966.02;COP;2/04/14;2/04/14
1,969.45;COP;1/04/14;1/04/14
1,965.32;COP;29/03/14;31/03/14
1,965.64;COP;28/03/14;28/03/14
1,973.03;COP;27/03/14;27/03/14
1,978.63;COP;26/03/14;26/03/14
1,993.85;COP;22/03/14;25/03/14
1,998.60;COP;21/03/14;21/03/14
2,017.38;COP;20/03/14;20/03/14
2,034.86;COP;19/03/14;19/03/14
2,035.16;COP;18/03/14;18/03/14
2,044.58;COP;15/03/14;17/03/14
2,053.11;COP;27/02/14;27/02/14
2,045.45;COP;26/02/14;26/02/14
2,042.67;COP;25/02/14;25/02/14
2,043.96;COP;22/02/14;24/02/14
2,052.46;COP;21/02/14;21/02/14
2,042.22;COP;20/02/14;20/02/14
2,028.54;COP;19/02/14;19/02/14
2,022.68;COP;15/02/14;18/02/14
2,032.99;COP;14/02/14;14/02/14
2,031.75;COP;13/02/14;13/02/14
2,041.61;COP;12/02/14;12/02/14
2,048.55;COP;11/02/14;11/02/14
2,046.06;COP;8/02/14;10/02/14
2,049.52;COP;7/02/14;7/02/14
2,048.75;COP;6/02/14;6/02/14
2,041.34;COP;5/02/14;5/02/14
2,039.85;COP;4/02/14;4/02/14
2,021.10;COP;1/02/14;3/02/14
2,008.26;COP;31/01/14;31/01/14
2,013.17;COP;30/01/14;30/01/14
2,000.56;COP;29/01/14;29/01/14
1,997.91;COP;28/01/14;28/01/14
2,000.48;COP;25/01/14;27/01/14
1,993.23;COP;24/01/14;24/01/14
1,983.48;COP;23/01/14;23/01/14
1,981.98;COP;22/01/14;22/01/14
1,957.86;COP;18/01/14;21/01/14
1,947.15;COP;17/01/14;17/01/14
1,941.45;COP;16/01/14;16/01/14
1,932.59;COP;15/01/14;15/01/14
1,924.79;COP;14/01/14;14/01/14
1,926.55;COP;11/01/14;13/01/14
1,934.88;COP;10/01/14;10/01/14
1,933.24;COP;9/01/14;9/01/14
1,930.45;COP;8/01/14;8/01/14
1,936.92;COP;4/01/14;7/01/14
1,938.89;COP;3/01/14;3/01/14
1,926.83;COP;31/12/13;2/01/14
1,922.56;COP;28/12/13;30/12/13
1,921.22;COP;27/12/13;27/12/13
1,922.76;COP;25/12/13;26/12/13
1,925.45;COP;24/12/13;24/12/13
1,935.93;COP;21/12/13;23/12/13
1,943.46;COP;20/12/13;20/12/13
1,945.60;COP;19/12/13;19/12/13
1,936.14;COP;18/12/13;18/12/13
1,934.95;COP;17/12/13;17/12/13
1,930.87;COP;14/12/13;16/12/13
1,935.89;COP;13/12/13;13/12/13
1,935.61;COP;12/12/13;12/12/13
1,933.52;COP;11/12/13;11/12/13
1,932.71;COP;10/12/13;10/12/13
1,936.33;COP;7/12/13;9/12/13
1,940.26;COP;6/12/13;6/12/13
1,948.48;COP;5/12/13;5/12/13
1,941.01;COP;4/12/13;4/12/13
1,934.16;COP;3/12/13;3/12/13
1,931.88;COP;30/11/13;2/12/13
1,928.25;COP;28/11/13;29/11/13
1,926.74;COP;27/11/13;27/11/13
1,926.99;COP;26/11/13;26/11/13
1,929.13;COP;23/11/13;25/11/13
1,932.42;COP;22/11/13;22/11/13
1,923.19;COP;21/11/13;21/11/13
1,919.20;COP;20/11/13;20/11/13
1,915.37;COP;19/11/13;19/11/13
1,919.89;COP;16/11/13;18/11/13
1,929.24;COP;15/11/13;15/11/13
1,932.03;COP;14/11/13;14/11/13
1,928.96;COP;13/11/13;13/11/13
1,932.77;COP;9/11/13;12/11/13
1,924.87;COP;8/11/13;8/11/13
1,916.80;COP;7/11/13;7/11/13
1,916.22;COP;6/11/13;6/11/13
1,901.22;COP;2/11/13;5/11/13
1,889.16;COP;1/11/13;1/11/13
1,884.06;COP;31/10/13;31/10/13
1,883.42;COP;30/10/13;30/10/13
1,884.43;COP;29/10/13;29/10/13
1,882.34;COP;26/10/13;28/10/13
1,882.11;COP;25/10/13;25/10/13
1,883.14;COP;24/10/13;24/10/13
1,879.46;COP;23/10/13;23/10/13
1,885.52;COP;22/10/13;22/10/13
1,879.88;COP;19/10/13;21/10/13
1,879.48;COP;18/10/13;18/10/13
1,880.91;COP;17/10/13;17/10/13
1,883.70;COP;16/10/13;16/10/13
1,883.65;COP;12/10/13;15/10/13
1,885.84;COP;11/10/13;11/10/13
1,894.06;COP;10/10/13;10/10/13
1,889.17;COP;9/10/13;9/10/13
1,885.19;COP;8/10/13;8/10/13
1,886.78;COP;5/10/13;7/10/13
1,889.95;COP;4/10/13;4/10/13
1,884.97;COP;3/10/13;3/10/13
1,893.77;COP;2/10/13;2/10/13
1,908.29;COP;1/10/13;1/10/13
1,914.65;COP;28/09/13;30/09/13
1,899.10;COP;27/09/13;27/09/13
1,893.42;COP;26/09/13;26/09/13
1,888.14;COP;25/09/13;25/09/13
1,892.89;COP;24/09/13;24/09/13
1,889.12;COP;21/09/13;23/09/13
1,887.30;COP;20/09/13;20/09/13
1,911.30;COP;19/09/13;19/09/13
1,914.12;COP;18/09/13;18/09/13
1,917.03;COP;17/09/13;17/09/13
1,919.54;COP;14/09/13;16/09/13
1,919.25;COP;13/09/13;13/09/13
1,923.64;COP;12/09/13;12/09/13
1,935.55;COP;11/09/13;11/09/13
1,946.06;COP;10/09/13;10/09/13
1,947.99;COP;7/09/13;9/09/13
1,952.11;COP;6/09/13;6/09/13
1,938.99;COP;5/09/13;5/09/13
1,946.28;COP;4/09/13;4/09/13
1,935.43;COP;31/08/13;3/09/13
1,943.04;COP;30/08/13;30/08/13
1,939.85;COP;29/08/13;29/08/13
1,938.26;COP;28/08/13;28/08/13
1,922.96;COP;27/08/13;27/08/13
1,911.16;COP;24/08/13;26/08/13
1,921.99;COP;23/08/13;23/08/13
1,929.75;COP;22/08/13;22/08/13
1,922.73;COP;21/08/13;21/08/13
1,907.06;COP;17/08/13;20/08/13
1,901.03;COP;16/08/13;16/08/13
1,883.15;COP;15/08/13;15/08/13
1,882.36;COP;14/08/13;14/08/13
1,868.90;COP;13/08/13;13/08/13
1,873.92;COP;10/08/13;12/08/13
1,877.23;COP;9/08/13;9/08/13
1,882.01;COP;7/08/13;8/08/13
1,883.24;COP;6/08/13;6/08/13
1,891.67;COP;3/08/13;5/08/13
1,896.65;COP;2/08/13;2/08/13
1,896.15;COP;1/08/13;1/08/13
1,890.33;COP;31/07/13;31/07/13
1,888.95;COP;30/07/13;30/07/13
1,886.26;COP;27/07/13;29/07/13
1,887.40;COP;26/07/13;26/07/13
1,891.02;COP;25/07/13;25/07/13
1,886.06;COP;24/07/13;24/07/13
1,880.87;COP;23/07/13;23/07/13
1,884.01;COP;20/07/13;22/07/13
1,883.29;COP;19/07/13;19/07/13
1,873.25;COP;18/07/13;18/07/13
1,878.42;COP;17/07/13;17/07/13
1,893.16;COP;16/07/13;16/07/13
1,905.25;COP;13/07/13;15/07/13
1,910.79;COP;12/07/13;12/07/13
1,920.24;COP;11/07/13;11/07/13
1,920.12;COP;10/07/13;10/07/13
1,926.84;COP;9/07/13;9/07/13
1,927.40;COP;6/07/13;8/07/13
1,915.45;COP;4/07/13;5/07/13
1,919.42;COP;3/07/13;3/07/13
1,929.00;COP;29/06/13;2/07/13
1,922.63;COP;28/06/13;28/06/13
1,921.86;COP;27/06/13;27/06/13
1,928.27;COP;26/06/13;26/06/13
1,942.97;COP;25/06/13;25/06/13
1,941.06;COP;22/06/13;24/06/13
1,937.26;COP;21/06/13;21/06/13
1,900.87;COP;20/06/13;20/06/13
1,902.47;COP;19/06/13;19/06/13
1,883.57;COP;18/06/13;18/06/13
1,882.38;COP;15/06/13;17/06/13
1,895.01;COP;14/06/13;14/06/13
1,897.53;COP;13/06/13;13/06/13
1,907.12;COP;12/06/13;12/06/13
1,898.80;COP;8/06/13;11/06/13
1,907.88;COP;7/06/13;7/06/13
1,899.08;COP;6/06/13;6/06/13
1,894.40;COP;5/06/13;5/06/13
1,907.76;COP;1/06/13;4/06/13
1,891.48;COP;31/05/13;31/05/13
1,894.13;COP;30/05/13;30/05/13
1,897.10;COP;29/05/13;29/05/13
1,874.10;COP;25/05/13;28/05/13
1,864.02;COP;24/05/13;24/05/13
1,850.55;COP;23/05/13;23/05/13
1,846.76;COP;22/05/13;22/05/13
1,842.59;COP;21/05/13;21/05/13
1,841.35;COP;18/05/13;20/05/13
1,838.82;COP;17/05/13;17/05/13
1,843.75;COP;16/05/13;16/05/13
1,838.63;COP;15/05/13;15/05/13
1,834.83;COP;11/05/13;14/05/13
1,833.07;COP;10/05/13;10/05/13
1,830.70;COP;9/05/13;9/05/13
1,827.13;COP;8/05/13;8/05/13
1,831.42;COP;7/05/13;7/05/13
1,835.88;COP;4/05/13;6/05/13
1,836.34;COP;3/05/13;3/05/13
